date,category,carrier,carrier2,issuer,card_name,tel,fee,spend_tier,type,discount,disc_type,apply_url,note
2026-08-17,렌탈,청호나이스,,KB국민,청호 KB국민카드Ⅱ,1644-8466,"국내/국내외(JCB/Master) 15,000원",30,기본,12000,청구할인,https://m.kbcard.com/CRD/DVIEW/MCAMCXHIACRC0002?mainCC=b&allianceCode=04336&solicitorcode=7024336000,
2026-08-17,렌탈,청호나이스,,KB국민,청호 KB국민카드Ⅱ,1644-8466,"국내/국내외(JCB/Master) 15,000원",30,프로모션,20000,청구할인,https://m.kbcard.com/CRD/DVIEW/MCAMCXHIACRC0002?mainCC=b&allianceCode=04336&solicitorcode=7024336000,
2026-08-17,렌탈,청호나이스,,하나,청호 할부 하나카드,1800-1312,"국내 12,000원 / 해외 (마스터) 15,000원",80,기본,16000,청구할인,,
2026-08-17,렌탈,청호나이스,,하나,청호 할부 하나카드,1800-1312,"국내 12,000원 / 해외 (마스터) 15,000원",30,기본,11000,청구할인,,
2026-08-17,렌탈,청호나이스,,삼성,청호 삼성카드,1588-6076,"국내(15,000원), 해외겸용(15,000원)",120,기본,13000,청구할인,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP1818&alncmpC=QNCHNICE&affcode=QNCHNICE1,
2026-08-17,렌탈,청호나이스,,삼성,청호 삼성카드,1588-6076,"국내(15,000원), 해외겸용(15,000원)",70,기본,10000,청구할인,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP1818&alncmpC=QNCHNICE&affcode=QNCHNICE1,
2026-08-17,렌탈,청호나이스,,삼성,청호 삼성카드,1588-6076,"국내(15,000원), 해외겸용(15,000원)",30,기본,7000,청구할인,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP1818&alncmpC=QNCHNICE&affcode=QNCHNICE1,
2026-08-17,렌탈,청호나이스,,삼성,청호 삼성카드,1588-6076,"국내(15,000원), 해외겸용(15,000원)",30,프로모션,19000,청구할인,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP1818&alncmpC=QNCHNICE&affcode=QNCHNICE1,
2026-08-17,렌탈,청호나이스,,신한,청호 신한카드,1833-2061,"국내(15,000원), 해외겸용(18,000원)",150,기본,30000,청구할인,https://cardapply.shinhancard.com/apply/CardInfoSelect?EntryLoc=3553&empSeq=0&targetID=&datakey=&agcCd=,
2026-08-17,렌탈,청호나이스,,신한,청호 신한카드,1833-2061,"국내(15,000원), 해외겸용(18,000원)",70,기본,16000,청구할인,https://cardapply.shinhancard.com/apply/CardInfoSelect?EntryLoc=3553&empSeq=0&targetID=&datakey=&agcCd=,
2026-08-17,렌탈,청호나이스,,신한,청호 신한카드,1833-2061,"국내(15,000원), 해외겸용(18,000원)",30,기본,12000,청구할인,https://cardapply.shinhancard.com/apply/CardInfoSelect?EntryLoc=3553&empSeq=0&targetID=&datakey=&agcCd=,
2026-08-17,렌탈,청호나이스,,신한,청호 신한카드,1833-2061,"국내(15,000원), 해외겸용(18,000원)",30,프로모션,15000,청구할인,https://cardapply.shinhancard.com/apply/CardInfoSelect?EntryLoc=3553&empSeq=0&targetID=&datakey=&agcCd=,
2026-08-17,렌탈,청호나이스,,현대,청호나이스 현대카드,1670-0447,"국내/국내외(JCB/Master) 20,000원",120,기본,16000,청구할인,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardflag=RC&cardWcd=CHHHC,
2026-08-17,렌탈,청호나이스,,현대,청호나이스 현대카드,1670-0447,"국내/국내외(JCB/Master) 20,000원",80,기본,12000,청구할인,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardflag=RC&cardWcd=CHHHC,
2026-08-17,렌탈,청호나이스,,현대,청호나이스 현대카드,1670-0447,"국내/국내외(JCB/Master) 20,000원",40,기본,8000,청구할인,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardflag=RC&cardWcd=CHHHC,
2026-08-17,렌탈,청호나이스,,현대,청호나이스 현대카드,1670-0447,"국내/국내외(JCB/Master) 20,000원",40,프로모션,21000,청구할인,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardflag=RC&cardWcd=CHHHC,
2026-08-17,렌탈,교원웰스,,KB국민,웰스 KB국민카드,1670-8440,"K-World(JCB) 12,000원 / Master 12,000원",100,기본,20000,청구할인,https://m.kbcard.com/CRD/DVIEW/MCAMCXHIACRC0002?mainCC=b&allianceCode=04417&solicitorcode=7024417001,
2026-08-17,렌탈,교원웰스,,KB국민,웰스 KB국민카드,1670-8440,"K-World(JCB) 12,000원 / Master 12,000원",70,기본,15000,청구할인,https://m.kbcard.com/CRD/DVIEW/MCAMCXHIACRC0002?mainCC=b&allianceCode=04417&solicitorcode=7024417001,
2026-08-17,렌탈,교원웰스,,KB국민,웰스 KB국민카드,1670-8440,"K-World(JCB) 12,000원 / Master 12,000원",30,기본,11000,청구할인,https://m.kbcard.com/CRD/DVIEW/MCAMCXHIACRC0002?mainCC=b&allianceCode=04417&solicitorcode=7024417001,
2026-08-17,렌탈,교원웰스,,하나,웰스 하나카드,1800-2491,"JCB 12,000원 / Master 12,000원",30,기본,13000,청구할인,http://m.site.naver.com/16Xkr,
2026-08-17,렌탈,교원웰스,,삼성,웰스 삼성카드,1599-6807,,120,기본,13000,청구할인,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP1708&alncmpC=QIWELLS&affcode=QIWELLS4&fastIsCardYn=Y&webViewFirstPage=true,
2026-08-17,렌탈,교원웰스,,삼성,웰스 삼성카드,1599-6807,,70,기본,10000,청구할인,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP1708&alncmpC=QIWELLS&affcode=QIWELLS4&fastIsCardYn=Y&webViewFirstPage=true,
2026-08-17,렌탈,교원웰스,,삼성,웰스 삼성카드,1599-6807,,30,기본,7000,청구할인,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP1708&alncmpC=QIWELLS&affcode=QIWELLS4&fastIsCardYn=Y&webViewFirstPage=true,
2026-08-17,렌탈,교원웰스,,삼성,웰스 삼성카드,1599-6807,,30,프로모션,13000,청구할인,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP1708&alncmpC=QIWELLS&affcode=QIWELLS4&fastIsCardYn=Y&webViewFirstPage=true,
2026-08-17,렌탈,교원웰스,,우리,웰스 우리카드,1800-4254,,120,기본,20000,청구할인,https://nm.wooricard.com/dcmw/yh1/crd/crd01/M1CRD101S02.do?cdPrdCd=103737,
2026-08-17,렌탈,교원웰스,,우리,웰스 우리카드,1800-4254,,70,기본,15000,청구할인,https://nm.wooricard.com/dcmw/yh1/crd/crd01/M1CRD101S02.do?cdPrdCd=103737,
2026-08-17,렌탈,교원웰스,,우리,웰스 우리카드,1800-4254,,30,기본,10000,청구할인,https://nm.wooricard.com/dcmw/yh1/crd/crd01/M1CRD101S02.do?cdPrdCd=103737,
2026-08-17,렌탈,교원웰스,,우리,웰스 우리카드,1800-4254,,30,프로모션,15000,청구할인,https://nm.wooricard.com/dcmw/yh1/crd/crd01/M1CRD101S02.do?cdPrdCd=103737,
2026-08-17,렌탈,현대큐밍,,하나,현대큐밍 하나카드,1800-2507,"JCB / JCB ONEWAY 12,000원",30,기본,13000,청구할인,https://www.hanacard.co.kr/OPI42000000D.web?_frame=no&CD_PD_SEQ=7048&ban_nm=hanacard&bansrc=hyundaicm&goURL=/PI42000000D.web?_frame=no&org.apache.struts.taglib.html.TOKEN=null&tiles_frame=yes&,
2026-08-17,렌탈,현대큐밍,,우리,현대렌탈케어 우리카드Ⅱ,1588-9955,"국내 / VISA (20,000원)",120,기본,20000,청구할인,https://nm.wooricard.com/dcmw/yh1/crd/crd01/M1CRD101S02.do?cdPrdCd=103738,
2026-08-17,렌탈,현대큐밍,,우리,현대렌탈케어 우리카드Ⅱ,1588-9955,"국내 / VISA (20,000원)",70,기본,15000,청구할인,https://nm.wooricard.com/dcmw/yh1/crd/crd01/M1CRD101S02.do?cdPrdCd=103738,
2026-08-17,렌탈,현대큐밍,,우리,현대렌탈케어 우리카드Ⅱ,1588-9955,"국내 / VISA (20,000원)",30,기본,10000,청구할인,https://nm.wooricard.com/dcmw/yh1/crd/crd01/M1CRD101S02.do?cdPrdCd=103738,
2026-08-17,렌탈,현대큐밍,,우리,현대렌탈케어 우리카드Ⅱ,1588-9955,"국내 / VISA (20,000원)",30,프로모션,15000,청구할인,https://nm.wooricard.com/dcmw/yh1/crd/crd01/M1CRD101S02.do?cdPrdCd=103738,
2026-08-17,렌탈,현대큐밍,,신한,현대큐밍 신한카드,1833-2049,국내전용 1만8천원 / 해외겸용 Master 2만 1천원,120,기본,20000,청구할인,https://cardapply.shinhancard.com/apply/CardInfoSelect?EntryLoc=3554&empSeq=0&targetID=&datakey=&agcCd=,
2026-08-17,렌탈,현대큐밍,,신한,현대큐밍 신한카드,1833-2049,국내전용 1만8천원 / 해외겸용 Master 2만 1천원,70,기본,15000,청구할인,https://cardapply.shinhancard.com/apply/CardInfoSelect?EntryLoc=3554&empSeq=0&targetID=&datakey=&agcCd=,
2026-08-17,렌탈,현대큐밍,,신한,현대큐밍 신한카드,1833-2049,국내전용 1만8천원 / 해외겸용 Master 2만 1천원,30,기본,12000,청구할인,https://cardapply.shinhancard.com/apply/CardInfoSelect?EntryLoc=3554&empSeq=0&targetID=&datakey=&agcCd=,
2026-08-17,렌탈,현대큐밍,,신한,현대큐밍 신한카드,1833-2049,국내전용 1만8천원 / 해외겸용 Master 2만 1천원,30,프로모션,15000,청구할인,https://cardapply.shinhancard.com/apply/CardInfoSelect?EntryLoc=3554&empSeq=0&targetID=&datakey=&agcCd=,
2026-08-17,렌탈,세스코,,삼성,세스코 삼성카드,1688-1133,"국내전용 15,000원 / 해외겸용(VISA) 15,000원",30,기본,15000,청구할인,tel:1688-1133,
2026-08-17,렌탈,세스코,,삼성,세스코 삼성카드,1688-1133,"국내전용 15,000원 / 해외겸용(VISA) 15,000원",70,기본,18000,청구할인,tel:1688-1133,
2026-08-17,렌탈,세스코,,삼성,세스코 삼성카드,1688-1133,"국내전용 15,000원 / 해외겸용(VISA) 15,000원",120,기본,21000,청구할인,tel:1688-1133,
2026-08-17,렌탈,BS렌탈,,하나,BS ON 플러스 하나카드,1800-1111,"국내외겸용 15,000 ~ 20,000원",30,기본,13000,청구할인,tel:1800-1111,
2026-08-17,렌탈,BS렌탈,,하나,BS ON 플러스 하나카드,1800-1111,"국내외겸용 15,000 ~ 20,000원",30,프로모션,15000,청구할인,tel:1800-1111,
2026-08-17,렌탈,BS렌탈,,하나,BS ON 플러스 하나카드,1800-1111,"국내외겸용 15,000 ~ 20,000원",120,기본,23000,청구할인,tel:1800-1111,
2026-08-17,렌탈,이니렌탈,,하나,렌탈플러스 하나카드,1800-1111,"국내외겸용 18,000원",30,기본,13000,청구할인,tel:1800-1111,
2026-08-17,렌탈,렌타나,,하나,렌탈 플러스 하나카드,1800-1201,"국내외겸용 18,000원",30,기본,13000,청구할인,tel:1800-1201,
2026-08-17,렌탈,캐리어,,신한,캐리어 신한카드,1833-3539,"국내전용 30,000원 / 국내외겸용 33,000원",30,기본,13000,청구할인,tel:1833-3539,
2026-08-17,렌탈,캐리어,,신한,캐리어 신한카드,1833-3539,"국내전용 30,000원 / 국내외겸용 33,000원",30,프로모션,16000,청구할인,tel:1833-3539,
2026-08-17,렌탈,캐리어,,신한,캐리어 신한카드,1833-3539,"국내전용 30,000원 / 국내외겸용 33,000원",70,기본,17000,청구할인,tel:1833-3539,
2026-08-17,렌탈,캐리어,,신한,캐리어 신한카드,1833-3539,"국내전용 30,000원 / 국내외겸용 33,000원",150,기본,30000,청구할인,tel:1833-3539,
2026-08-17,렌탈,캐리어,,하나,NEW 렌탈 플러스 하나카드,1800-1111,"국내외겸용 18,000원",30,기본,13000,청구할인,tel:1800-1111,
2026-08-17,렌탈,스마트렌탈,,KB국민,국민 스마트렌탈 카드,,,70,기본,17000,청구할인,,
2026-08-17,렌탈,스마트렌탈,,KB국민,국민 스마트렌탈 카드,,,30,기본,12000,청구할인,,
2026-08-17,통신,SKT,SKT,삼성,삼성 T나는 혜택카드,,"2만원(국내, MASTER)",,기본,7000,청구할인,/tglink.jsp?urlname=wTG_4815,범위
2026-08-17,통신,SKT,SKT,삼성,삼성 T나는 혜택카드,,"2만원(국내, MASTER)",,기본,13000,청구할인,/tglink.jsp?urlname=wTG_4815,범위
2026-08-17,통신,SKT,SKT,현대,SKT-현대카드M Edition3(통신할인형 2.0),,"2만 원(국내, VISA)",,기본,15000,청구할인,/tglink.jsp?urlname=wTG_5471,범위
2026-08-17,통신,SKT,SKT,현대,SKT-현대카드M Edition3(통신할인형 2.0),,"2만 원(국내, VISA)",,기본,25000,청구할인,/tglink.jsp?urlname=wTG_5471,범위
2026-08-17,통신,SKT,SKT,KB국민,T-economy KB국민카드,,1만5천원(JCB/Master),,기본,12000,청구할인,/tglink.jsp?urlname=wTG_5526,범위
2026-08-17,통신,SKT,SKT,KB국민,T-economy KB국민카드,,1만5천원(JCB/Master),,기본,17000,청구할인,/tglink.jsp?urlname=wTG_5526,범위
2026-08-17,통신,SKB,SKB,신한,SK브로드밴드 신한카드,,"국내 2만 7천 원, 해외겸용(VISA) 3만 원",30,기본,15000,결제대금차감,,
2026-08-17,통신,SKB,SKB,신한,SK브로드밴드 신한카드,,"국내 2만 7천 원, 해외겸용(VISA) 3만 원",70,기본,19000,결제대금차감,,
2026-08-17,통신,SKB,SKB,신한,SK브로드밴드 신한카드,,"국내 2만 7천 원, 해외겸용(VISA) 3만 원",120,기본,20000,결제대금차감,,
2026-08-17,통신,SKB,SKB,하나,더 심플 하나카드,,"국내 2만 5천 원, 해외겸용(Master) 2만 5천 원",30,기본,10000,결제대금차감,,
2026-08-17,통신,SKB,SKB,하나,더 심플 하나카드,,"국내 2만 5천 원, 해외겸용(Master) 2만 5천 원",80,기본,15000,결제대금차감,,
2026-08-17,통신,SKB,SKB,삼성,T나는혜택 삼성카드,,"국내 2만 원, 해외겸용(Master) 2만 원 전월 이용 실적 및 전월 생활요금 정기결제 건수에 따라 할인",30,기본,7000,청구할인,,
2026-08-17,통신,SKB,SKB,삼성,T나는혜택 삼성카드,,"국내 2만 원, 해외겸용(Master) 2만 원 전월 이용 실적 및 전월 생활요금 정기결제 건수에 따라 할인",30,프로모션,10000,청구할인,,
2026-08-17,통신,SKB,SKB,삼성,T나는혜택 삼성카드,,"국내 2만 원, 해외겸용(Master) 2만 원 전월 이용 실적 및 전월 생활요금 정기결제 건수에 따라 할인",70,기본,10000,청구할인,,
2026-08-17,통신,SKB,SKB,삼성,T나는혜택 삼성카드,,"국내 2만 원, 해외겸용(Master) 2만 원 전월 이용 실적 및 전월 생활요금 정기결제 건수에 따라 할인",70,프로모션,13000,청구할인,,
2026-08-17,통신,SKB,SKB,삼성,T나는혜택 삼성카드,,"국내 2만 원, 해외겸용(Master) 2만 원 전월 이용 실적 및 전월 생활요금 정기결제 건수에 따라 할인",120,기본,13000,청구할인,,
2026-08-17,통신,SKB,SKB,삼성,T나는혜택 삼성카드,,"국내 2만 원, 해외겸용(Master) 2만 원 전월 이용 실적 및 전월 생활요금 정기결제 건수에 따라 할인",120,프로모션,16000,청구할인,,
2026-08-17,통신,스카이라이프,스카이라이프,신한,스카이라이프 신한카드,,,30,기본,15000,청구할인,,수기확인(2026-06-29)
2026-08-17,통신,스카이라이프,스카이라이프,신한,스카이라이프 신한카드,,,70,기본,16000,청구할인,,수기확인(2026-06-29)
2026-08-17,통신,스카이라이프,스카이라이프,신한,스카이라이프 신한카드,,,120,기본,20000,청구할인,,수기확인(2026-06-29)
2026-08-17,통신,스카이라이프,스카이라이프,KB국민,KT스카이라이프 KB카드,,,30,기본,15000,청구할인,,수기확인(2026-06-29)
2026-08-17,통신,스카이라이프,스카이라이프,KB국민,KT스카이라이프 KB카드,,,70,기본,17000,청구할인,,수기확인(2026-06-29)
2026-08-17,통신,스카이라이프,스카이라이프,롯데,LOCA x special SE,,,30,기본,15000,청구할인,,수기확인(2026-06-29)
2026-08-17,통신,스카이라이프,스카이라이프,롯데,LOCA x special SE,,,70,기본,17000,청구할인,,수기확인(2026-06-29)
2026-08-17,통신,스카이라이프,스카이라이프,롯데,LOCA x special SE,,,150,기본,25000,청구할인,,수기확인(2026-06-29)
2026-08-17,통신,스카이라이프,스카이라이프,하나,스카이라이프 하나카드,,,30,기본,13000,청구할인,,수기확인(2026-06-29)
2026-08-17,통신,스카이라이프,스카이라이프,BC바로,KT 마이알뜰폰 BC 바로카드,,,30,기본,12000,청구할인,,수기확인(2026-06-29)
2026-08-17,통신,스카이라이프,스카이라이프,BC바로,KT 마이알뜰폰 BC 바로카드,,,70,기본,17000,청구할인,,수기확인(2026-06-29)
2026-08-17,통신,LG헬로비전,LG헬로비전,우리,[신규] LG헬로비전 언제나 우리카드,,"20,000원",30,기본,19000,청구할인,,
2026-08-17,통신,LG헬로비전,LG헬로비전,우리,[신규] LG헬로비전 언제나 우리카드,,"20,000원",70,기본,21000,청구할인,,
2026-08-17,통신,LG헬로비전,LG헬로비전,우리,[신규] LG헬로비전 언제나 우리카드,,"20,000원",120,기본,23000,청구할인,,
2026-08-17,통신,LG헬로비전,LG헬로비전,우리,[신규] LG헬로비전 언제나 우리카드,,"20,000원",30,기본,7000,청구할인,,
2026-08-17,통신,LG헬로비전,LG헬로비전,KB국민,[국민] KB국민카드 LG헬로비전 II 카드,,"20,000원",30,기본,19000,청구할인,,
2026-08-17,통신,LG헬로비전,LG헬로비전,KB국민,[국민] KB국민카드 LG헬로비전 II 카드,,"20,000원",70,기본,21000,청구할인,,
2026-08-17,통신,LG헬로비전,LG헬로비전,신한,[신한] LG헬로비전 신한카드,,,40,기본,19000,결제대금차감,,
2026-08-17,통신,LG헬로비전,LG헬로비전,신한,[신한] LG헬로비전 신한카드,,,80,기본,20000,결제대금차감,,
2026-08-17,통신,딜라이브,딜라이브,하나,딜라이브 렌탈 플러스 하나카드,,"18,000원",30,기본,13000,청구할인,https://m.hanacard.co.kr/MPACMM101M.web?_frame=no&CD_PD_SEQ=18122&eno=100000000,
2026-08-17,통신,딜라이브,딜라이브,하나,더 심플 하나카드,,"25,000원",80,기본,15000,청구할인,https://m.hanacard.co.kr/MPACMM101M.web?_frame=no&CD_PD_SEQ=17176&eno=100000000&00000,
2026-08-17,통신,딜라이브,딜라이브,KB국민,KB국민 딜라이브 카드,,"15,000원",70,기본,17000,청구할인,https://m.kbcard.com/CXHIACRC0002.cms?mainCC=b&allianceCode=04345&solicitorcode=702100000000,
2026-08-17,통신,유모바일,유모바일,KB국민,KB국민 U+유모바일 Ⅱ 카드,,,30,기본,7000,청구할인,kbtwo,
2026-08-17,통신,유모바일,유모바일,KB국민,KB국민 U+유모바일 Ⅱ 카드,,,30,프로모션,19000,청구할인,kbtwo,
2026-08-17,통신,유모바일,유모바일,KB국민,KB국민 U+유모바일 Ⅱ 카드,,,70,기본,11000,청구할인,kbtwo,
2026-08-17,통신,유모바일,유모바일,KB국민,KB국민 U+유모바일 Ⅱ 카드,,,70,프로모션,20000,청구할인,kbtwo,
2026-08-17,통신,유모바일,유모바일,신한,신한카드 알뜰More(알뜰모아),,,40,기본,10000,청구할인,altmore,
2026-08-17,통신,유모바일,유모바일,신한,신한카드 알뜰More(알뜰모아),,,40,프로모션,15000,청구할인,altmore,
2026-08-17,통신,유모바일,유모바일,신한,신한카드 알뜰More(알뜰모아),,,70,기본,15000,청구할인,altmore,
2026-08-17,통신,유모바일,유모바일,신한,신한카드 알뜰More(알뜰모아),,,70,프로모션,20000,청구할인,altmore,
2026-08-17,통신-할부형,LGU+,LGU+,신한,LG U+ 스마트플랜Plus 신한카드 (유플러스닷컴 전용),,,,범위,,청구할인,https://www.shinhancard.com/pconts/html/card/apply/credit/1218120_2207.html,"월 10,000원~15,000원 할인"
2026-08-17,통신,LGU+,LGU+,하나,더 심플 하나카드,,,,범위,,청구할인,https://www.hanacard.co.kr/OPI42000000D.web?CD_PD_SEQ=17158,"월 10,000원~15,000원 할인"
2026-08-17,통신-할부형,LGU+,LGU+,신한,LG U+ 스마트플랜Plus 신한카드,,,30,할부이용,10000,청구할인,https://www.shinhancard.com/pconts/html/card/apply/credit/1196321_2207.html,
2026-08-17,통신-할부형,LGU+,LGU+,신한,LG U+ 스마트플랜Plus 신한카드,,,70,할부이용,15000,청구할인,https://www.shinhancard.com/pconts/html/card/apply/credit/1196321_2207.html,
2026-08-17,통신-할부형,LGU+,LGU+,신한,LG U+ 스마트플랜Plus 신한카드,,,30,할부미이용,3000,청구할인,https://www.shinhancard.com/pconts/html/card/apply/credit/1196321_2207.html,
2026-08-17,통신-할부형,LGU+,LGU+,신한,LG U+ 스마트플랜Plus 신한카드,,,70,할부미이용,5000,청구할인,https://www.shinhancard.com/pconts/html/card/apply/credit/1196321_2207.html,
2026-08-17,통신,LGU+,LGU+,하나,LG U+ FAMILY 하나카드,,,,범위,,캐시백,https://www.hanacard.co.kr/OPI42000000D.web?CD_PD_SEQ=14108,"월 17,000원~25,000원 할인"
2026-08-17,통신,LGU+,LGU+,현대,LG U+ 현대카드M Edition3(통신할인형2.0),,,50,기본,15000,청구할인,https://www.hyundaicard.com/m/lg_ed3l.html,
2026-08-17,통신,LGU+,LGU+,현대,LG U+ 현대카드M Edition3(통신할인형2.0),,,100,기본,25000,청구할인,https://www.hyundaicard.com/m/lg_ed3l.html,
2026-08-17,통신,LGU+,LGU+,삼성,LG U+ 삼성카드,,,30,기본,7000,청구할인,https://www.samsungcard.com/personal/card/simple-apply/UHPPCA0225M0.jsp?code=AAP1663&alncmpC=QKCWHP&affcode=QKCWHP,
2026-08-17,통신,LGU+,LGU+,삼성,LG U+ 삼성카드,,,70,기본,10000,청구할인,https://www.samsungcard.com/personal/card/simple-apply/UHPPCA0225M0.jsp?code=AAP1663&alncmpC=QKCWHP&affcode=QKCWHP,
2026-08-17,통신,LGU+,LGU+,삼성,LG U+ 삼성카드,,,120,기본,10000,청구할인,https://www.samsungcard.com/personal/card/simple-apply/UHPPCA0225M0.jsp?code=AAP1663&alncmpC=QKCWHP&affcode=QKCWHP,
2026-08-17,통신,LGU+,LGU+,신한,LG U+ 사장님 통할인 신한카드,,,30,기본,10000,청구할인,https://www.shinhancard.com/pconts/html/card/apply/credit/1196261_2207.html,
2026-08-17,통신,LGU+,LGU+,신한,LG U+ 사장님 통할인 신한카드,,,250,기본,42000,청구할인,https://www.shinhancard.com/pconts/html/card/apply/credit/1196261_2207.html,
2026-08-17,통신,LGU+,LGU+,신한,LG U+ 사장님 통할인 신한카드,,,30,25개월후,6000,청구할인,https://www.shinhancard.com/pconts/html/card/apply/credit/1196261_2207.html,
2026-08-17,통신,LGU+,LGU+,신한,LG U+ 사장님 통할인 신한카드,,,250,25개월후,6000,청구할인,https://www.shinhancard.com/pconts/html/card/apply/credit/1196261_2207.html,
2026-08-17,통신,LGU+,LGU+,NH농협,NH올원 LG U+ 카드,,,50,기본,9000,청구할인,https://card.nonghyup.com/index_cardProd.html?SERVICE_ID=IPCC2021R&NAVIGATE_TYPE=1&cd_wrs_sqno=90000379&FromSite=z5,
2026-08-17,통신,LGU+,LGU+,NH농협,NH올원 LG U+ 카드,,,100,기본,15000,청구할인,https://card.nonghyup.com/index_cardProd.html?SERVICE_ID=IPCC2021R&NAVIGATE_TYPE=1&cd_wrs_sqno=90000379&FromSite=z5,
